station_id,city,station_name,latitude,longitude,slots,empty_slots,free_bikes,station_location
391a459d2ca6e2c8eefa90736b2e9142,Bike Share Toronto,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,12,9,3,"43.652100, -79.448600"
97a0a3eefa88468c8389efa6bbbd2f50,Bike Share Toronto,Yonge St / Bloor St,43.669969,-79.386532,14,12,2,"43.669969, -79.386532"
0ac5489c6a4750403c053598153880b0,Bike Share Toronto,Dufferin Gate - SMART,43.633473,-79.425679,16,6,10,"43.633473, -79.425679"
0e89e5d6c910f6df787cd9c903ade959,Bike Share Toronto,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,35,9,24,"43.630254, -79.420317"
d0d6832dcab19b3cb35c2474d2e8c088,Bike Share Toronto,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,34,22,10,"43.662403, -79.423098"
beb87ea54499f95a614653924c99b9c4,Bike Share Toronto,Concord Ave / Dewson St,43.656945,-79.424911,17,17,0,"43.656945, -79.424911"
d8c6779ffdcc8889412fd4c9b0a08c35,Bike Share Toronto,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,19,19,0,"43.681735, -79.418472"
fba4560a5641afdb69a97d04466ef788,Bike Share Toronto,St Clair Ave W / Bathurst St.,43.683296,-79.418734,19,10,8,"43.683296, -79.418734"
a943462e1ee05f0073b647a5b787f81d,Bike Share Toronto,Queen St E / Nursewood Rd,43.673831,-79.281455,18,0,17,"43.673831, -79.281455"
e3c4ef5e47b905992ebcd262cc3df594,Bike Share Toronto,Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,23,12,10,"43.666325, -79.301400"
044fd938d016b91837e9b02be913b5c7,Bike Share Toronto,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,12,7,5,"43.651145, -79.423742"
c8cc2df4c8343778481f7f7c53499df7,Bike Share Toronto,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,20,2,18,"43.654905, -79.398448"
db9bcdbd258af5174a3e6d725807957e,Bike Share Toronto,Frederick St / King St E,43.651118,-79.369411,23,19,3,"43.651118, -79.369411"
2037c7d47c8b7babcd2c4a058a66a6c8,Bike Share Toronto,College St / Borden St,43.6571,-79.4056,11,4,7,"43.657100, -79.405600"
73555343619c6b9d1253029204bbd5cd,Bike Share Toronto,Beverley  St / Dundas St W,43.652823,-79.393388,31,15,16,"43.652823, -79.393388"
d4c9a3af6604468422edfb03f56462db,Bike Share Toronto,Bay St / St. Joseph St,43.665527,-79.387499,15,7,8,"43.665527, -79.387499"
6e0b53806a9d068b042fa21bd67c5418,Bike Share Toronto,Gould St / Mutual St,43.6582,-79.3768,29,19,10,"43.658200, -79.376800"
c6f56ec0831b791abbce0992adba6318,Bike Share Toronto,Riverdale Park North (Broadview Ave),43.671172,-79.354704,15,15,0,"43.671172, -79.354704"
3b2853992a1700739c8fa569801e1c48,Bike Share Toronto,Danforth Ave / Ellerbeck St,43.677076,-79.35667,14,6,8,"43.677076, -79.356670"
18f8c64419b95e0c4692621928ce7dd6,Bike Share Toronto,Pape Subway Station (Green P),43.680223,-79.344062,15,0,15,"43.680223, -79.344062"
a9f7723da0cc432f4d057e3ceede292e,Bike Share Toronto,Danforth Ave / Gough Ave,43.678401,-79.346289,17,16,1,"43.678401, -79.346289"
79b67fbfd130d41c9162e805a9e755be,Bike Share Toronto,Danforth Ave / Lamb Ave,43.681991,-79.329455,19,6,13,"43.681991, -79.329455"
667cd54aa27ec06620753f3d19a78b3d,Bike Share Toronto,King St W / Stafford St,43.6422222,-79.41111111111111,15,6,9,"43.642222, -79.411111"
37b46f2e5573e69f5451dc09c0c14660,Bike Share Toronto,Bathurst St / Lennox St,43.663808,-79.410491,19,10,9,"43.663808, -79.410491"
8db545a0135f7b92022fbdbbc75af6c4,Bike Share Toronto,Bathurst Subway Station,43.6666667,-79.41166666666668,23,22,0,"43.666667, -79.411667"
78ac4436b3398ac55b47569863af6c41,Bike Share Toronto,Bloor St W / Christie St,43.6638889,-79.41888888888889,19,13,5,"43.663889, -79.418889"
6d45f03d18059ba5e61f0d44a0cea59d,Bike Share Toronto,Ossington Ave / Bloor St W,43.661705,-79.425734,11,8,3,"43.661705, -79.425734"
cf1adac21d23e26855ea06278b5cd149,Bike Share Toronto,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,19,15,4,"43.668611, -79.420278"
3863dd61e00ea66710f789ae4297a2d2,Bike Share Toronto,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19,13,5,"43.665327, -79.432350"
46bdd4a2b7715a9e32917b830777f17f,Bike Share Toronto,Havelock St / Dufferin Park,43.657343,-79.43112,19,12,7,"43.657343, -79.431120"
6ac9cdf0b92883715b404d41c779af0b,Bike Share Toronto,Bathurst St / Adelaide St W,43.645324,-79.40345,25,20,5,"43.645324, -79.403450"
a0582ad73e21704a28197ee3c0aa4bcd,Bike Share Toronto,Mill St / Parliament St,43.650256,-79.36163,15,10,5,"43.650256, -79.361630"
bc19a4e6924e29937e76c9e82b55584c,Bike Share Toronto,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,19,7,11,"43.651111, -79.421389"
71debce521f35fd4e280e8ee1e2dd8cc,Bike Share Toronto,80 Clinton St,43.656296,-79.414663,15,14,1,"43.656296, -79.414663"
5dd14c8888280d1274f6ad3e04f6d6cd,Bike Share Toronto,Claremont St / Dundas St W,43.651281,-79.411717,13,9,4,"43.651281, -79.411717"
d7bb48a755f69109f6584df0a207c9b2,Bike Share Toronto,Rusholme Park Cres / College St,43.65277778,-79.42972222,15,11,4,"43.652778, -79.429722"
e53f168eadc3a7e3b9704193c739cb12,Bike Share Toronto,College St / Crawford St,43.655,-79.418889,19,17,1,"43.655000, -79.418889"
a0a11d15c4bd8231d739f71d85a8f29c,Bike Share Toronto,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,19,9,10,"43.668553, -79.338673"
3e05658e4bcad33e9d606744235dadcc,Bike Share Toronto,Queen St E / Alton Av,43.663912,-79.327987,19,14,5,"43.663912, -79.327987"
ab92855299769ca50b1354e489b31a31,Bike Share Toronto,Simcoe St / Wellington St W North,43.6462176,-79.3855048,15,0,15,"43.646218, -79.385505"
20671fface2f37dd6d2d4263534c29e5,Bike Share Toronto,Coxwell Ave / Plains Rd,43.69595,-79.328535,19,10,9,"43.695950, -79.328535"
67862da2d3680a6eaa417b8ce2d945d4,Bike Share Toronto,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,15,9,5,"43.675319, -79.346279"
fbf3bb78beefa587d54c8b24e2533469,Bike Share Toronto,Logan Ave / Bain Ave,43.6720273,-79.3470557,11,3,8,"43.672027, -79.347056"
f42363acf4af847ca6fcdbe9b48c8290,Bike Share Toronto,Liberty St / Fraser Ave Green P,43.637981,-79.424146,19,2,17,"43.637981, -79.424146"
3c85f738ad60e03252f1d62fec2f34d6,Bike Share Toronto,King St W / Douro St,43.640885,-79.416379,11,9,2,"43.640885, -79.416379"
c7948cf5155f3ddaefa9a8279f203b5a,Bike Share Toronto,Queen St E / Berkeley St,43.6552778,-79.36583333333333,15,4,11,"43.655278, -79.365833"
908d3c912d6d67c7a5e2bb94d1ae7df3,Bike Share Toronto,Howard St / Sherbourne St,43.6712581,-79.376367,15,13,2,"43.671258, -79.376367"
13e6abf323682b291aadb3371ce32cc7,Bike Share Toronto,Carlton St / Parliament St,43.664524,-79.36793,27,11,15,"43.664524, -79.367930"
e46a04a7825e44fa858bc0cb00a4458a,Bike Share Toronto,Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,14,9,5,"43.665867, -79.362506"
5db77b72334a7b8823a28662a03f8e38,Bike Share Toronto,King St W / Bay St (East Side),43.648575,-79.380042,19,6,13,"43.648575, -79.380042"
c955acbcda8513471837f2aa55a98fb1,Bike Share Toronto,Front St W / Blue Jays Way,43.643473,-79.390477,15,12,2,"43.643473, -79.390477"
6d07f3c1d79ff6816c5c04a7def6e6eb,Bike Share Toronto,Metro Hall Plaza,43.645859,-79.38783,27,16,10,"43.645859, -79.387830"
832ed21684e41502666f993fae2eeb87,Bike Share Toronto,Parliament St / Gerrard St,43.662132,-79.3656796,23,16,6,"43.662132, -79.365680"
019e5937c3fc120cee906770bca8fa69,Bike Share Toronto,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,11,8,3,"43.640722, -79.391051"
3754aff9599513c7ba4e4649ea3818dd,Bike Share Toronto,Jarvis St / Carlton St,43.66207,-79.37617,15,8,7,"43.662070, -79.376170"
e0ae749c309ee887012688bbd69c8b10,Bike Share Toronto,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,11,9,2,"43.660206, -79.324400"
ee45e3b6a9f07f4581d82c06d9bd5f51,Bike Share Toronto,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15,0,15,"43.668633, -79.291162"
af0a7227a67fe55fb0c12597326e6b3b,Bike Share Toronto,Yonge St / Dundonald St - SMART,43.665801,-79.384796,12,6,6,"43.665801, -79.384796"
4f8770c2a0ee3962babd83913df2e99c,Bike Share Toronto,Bay St / Charles St W - SMART,43.668153,-79.38891,20,5,15,"43.668153, -79.388910"
d70594ad9c923bbbae6602d2dff4d154,Bike Share Toronto,Church St / Dundas St E - SMART,43.657024,-79.377257,15,1,14,"43.657024, -79.377257"
9a5a9a00b6f0cb77047f37e70887d891,Bike Share Toronto,Yonge St / Alexander St - SMART,43.662862,-79.383572,18,4,14,"43.662862, -79.383572"
f0af815a9e6c12bd0382843e03fd322f,Bike Share Toronto,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20,15,5,"43.706347, -79.401610"
b3786025b3e4a46d9a21d6b82087cd12,Bike Share Toronto,Balliol St / Yonge St  SMART,43.6978701,-79.39419,20,19,1,"43.697870, -79.394190"
44bdbe8a2ac75fbe4cc0edf41fe1d4fa,Bike Share Toronto,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,19,19,0,"43.696708, -79.400450"
ba979c39b60f1144fc9dd91faaeeea64,Bike Share Toronto,Front St E / Scott St,43.6476616,-79.37549,10,1,9,"43.647662, -79.375490"
eb9f4cf130feebf9af0dc0225411eb98,Bike Share Toronto,Frederick St / The Esplanade,43.6487245,-79.36839,19,5,14,"43.648725, -79.368390"
52d497af695140c759b28d7bf63e94f4,Bike Share Toronto,King St W / Bay St (West Side),43.64852,-79.380576,38,14,23,"43.648520, -79.380576"
ee2e9277d3e8a86acbfdda0e395d1378,Bike Share Toronto,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,15,3,12,"43.656026, -79.385327"
90d36d6e81fff926a434e196e0a43d53,Bike Share Toronto,King St W / Spadina Ave,43.645323,-79.395003,18,1,16,"43.645323, -79.395003"
14d5d7e0f5a8e23c9b50f62ea39f725c,Bike Share Toronto,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15,8,6,"43.677778, -79.405556"
3bfbe7d9edced07da6dd283495fb8170,Bike Share Toronto,Queens Quay / Yonge St,43.641646,-79.375308,31,12,16,"43.641646, -79.375308"
58c0d439a59414e5e23bf5021e264d79,Bike Share Toronto,Front St W / Bay St (North Side),43.646162,-79.378912,11,0,11,"43.646162, -79.378912"
f36d8ed5ff407fc4eab6c9cc344661f9,Bike Share Toronto,Danforth Ave / Westlake Ave,43.687323,-79.304848,15,11,4,"43.687323, -79.304848"
15fc89637ebe1c3e63fbe123d70819ee,Bike Share Toronto,Jarvis St / Isabella St,43.668991,-79.379385,23,6,16,"43.668991, -79.379385"
ef0363fb67db85c62cfe83b7032ade5b,Bike Share Toronto,Yonge St / Wood St,43.6622222,-79.3825,15,4,11,"43.662222, -79.382500"
9fcbcd2e313ddf16bc7200bede80e9a6,Bike Share Toronto,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,19,14,4,"43.643333, -79.405556"
f5506a406fb49a19088bedd1d8e9cd2f,Bike Share Toronto,Beverley St / College St,43.6575,-79.39527777777778,23,15,8,"43.657500, -79.395278"
fc62f74abe3d79fa430f55f6f56e5e3a,Bike Share Toronto,Gould St / Yonge St (TMU),43.657424,-79.381019,23,0,22,"43.657424, -79.381019"
4b13a471170e0768fe5e1ca0b30fde8d,Bike Share Toronto,Front St W / Bay St (South Side),43.64595,-79.378761,19,1,18,"43.645950, -79.378761"
5e8bf46c90fa957882beddfb6625870b,Bike Share Toronto,Charles St W / Balmuto St - SMART,43.668427,-79.38725,20,6,13,"43.668427, -79.387250"
3ba9b248dbb5b0ffa30ec9807f14476c,Bike Share Toronto,Charles St E / Jarvis St - SMART,43.669604,-79.381171,20,16,3,"43.669604, -79.381171"
0690f86b4ecb172570d8e08b5f9004c3,Bike Share Toronto,Queen St E / Pape Ave - SMART,43.661673,-79.337789,16,7,9,"43.661673, -79.337789"
9796c16b7ac90260d9f033ba4735acea,Bike Share Toronto,Gerrard St E / Broadview - SMART,43.665656,-79.352055,18,18,0,"43.665656, -79.352055"
abbcc3b45ad10472c3ec35ce3fb6e078,Bike Share Toronto,Humber Bay Shores Park East,43.6308933,-79.4722622,23,6,16,"43.630893, -79.472262"
ec48a65298b460584afe2586c15c360c,Bike Share Toronto,Humber Bay Shores Park West,43.6224434,-79.480284,31,7,22,"43.622443, -79.480284"
21982c325ac8d5dcc146b350aa0e8298,Bike Share Toronto,Taddle Creek Park,43.66986,-79.398443,15,4,11,"43.669860, -79.398443"
82748c8c8a714dd216bcd4c636585556,Bike Share Toronto,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,12,2,10,"43.659471, -79.350325"
16658c808dda522274b99346e8f815fb,Bike Share Toronto,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19,9,10,"43.650492, -79.450842"
4d985c0489e4b123e499fcaa4b70e32e,Bike Share Toronto,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,16,9,6,"43.640255, -79.439223"
2567d3e27e558c6e6ee94c289c838111,Bike Share Toronto,King St W / Cowan Ave - SMART,43.637922,-79.431734,16,1,15,"43.637922, -79.431734"
760056e88951946d2f3e9bea859333eb,Bike Share Toronto,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,19,3,16,"43.643769, -79.447915"
c08362564d4889e345bfaaa42da5fb4f,Bike Share Toronto,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,16,5,10,"43.649172, -79.444509"
c1375239981cfc9b3934e691cb9013bb,Bike Share Toronto,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,20,13,6,"43.663912, -79.416124"
dcbcf9c681fbd3e77dfbea6df0e070bc,Bike Share Toronto,Simcoe St / Wellington St W South,43.6458569,-79.3853654,27,3,24,"43.645857, -79.385365"
